"date","series_id","value","realtime_start","realtime_end"
1970-10-01,"GDPC1",-4.21789,2025-07-25,2025-07-25
1971-01-01,"GDPC1",11.31531,2025-07-25,2025-07-25
1971-04-01,"GDPC1",2.18088,2025-07-25,2025-07-25
1971-07-01,"GDPC1",3.3306,2025-07-25,2025-07-25
1971-10-01,"GDPC1",0.94277,2025-07-25,2025-07-25
1972-01-01,"GDPC1",7.55388,2025-07-25,2025-07-25
1972-04-01,"GDPC1",9.39083,2025-07-25,2025-07-25
1972-07-01,"GDPC1",3.83017,2025-07-25,2025-07-25
1972-10-01,"GDPC1",6.86785,2025-07-25,2025-07-25
1973-01-01,"GDPC1",10.27339,2025-07-25,2025-07-25
1973-04-01,"GDPC1",4.42661,2025-07-25,2025-07-25
1973-07-01,"GDPC1",-2.08682,2025-07-25,2025-07-25
1973-10-01,"GDPC1",3.85133,2025-07-25,2025-07-25
1974-01-01,"GDPC1",-3.39473,2025-07-25,2025-07-25
1974-04-01,"GDPC1",0.95418,2025-07-25,2025-07-25
1974-07-01,"GDPC1",-3.72783,2025-07-25,2025-07-25
1974-10-01,"GDPC1",-1.54459,2025-07-25,2025-07-25
1975-01-01,"GDPC1",-4.7823,2025-07-25,2025-07-25
1975-04-01,"GDPC1",2.8896,2025-07-25,2025-07-25
1975-07-01,"GDPC1",7.02606,2025-07-25,2025-07-25
1975-10-01,"GDPC1",5.49823,2025-07-25,2025-07-25
1976-01-01,"GDPC1",9.30606,2025-07-25,2025-07-25
1976-04-01,"GDPC1",2.96592,2025-07-25,2025-07-25
1976-07-01,"GDPC1",2.20768,2025-07-25,2025-07-25
1976-10-01,"GDPC1",2.92189,2025-07-25,2025-07-25
1977-01-01,"GDPC1",4.83003,2025-07-25,2025-07-25
1977-04-01,"GDPC1",7.9969,2025-07-25,2025-07-25
1977-07-01,"GDPC1",7.4101,2025-07-25,2025-07-25
1977-10-01,"GDPC1",0.00797,2025-07-25,2025-07-25
1978-01-01,"GDPC1",1.28552,2025-07-25,2025-07-25
1978-04-01,"GDPC1",16.37859,2025-07-25,2025-07-25
1978-07-01,"GDPC1",4.08409,2025-07-25,2025-07-25
1978-10-01,"GDPC1",5.48588,2025-07-25,2025-07-25
1979-01-01,"GDPC1",0.72031,2025-07-25,2025-07-25
1979-04-01,"GDPC1",0.42767,2025-07-25,2025-07-25
1979-07-01,"GDPC1",3.00449,2025-07-25,2025-07-25
1979-10-01,"GDPC1",1.00394,2025-07-25,2025-07-25
1980-01-01,"GDPC1",1.26423,2025-07-25,2025-07-25
1980-04-01,"GDPC1",-7.9905,2025-07-25,2025-07-25
1980-07-01,"GDPC1",-0.47457,2025-07-25,2025-07-25
1980-10-01,"GDPC1",7.67098,2025-07-25,2025-07-25
1981-01-01,"GDPC1",8.07107,2025-07-25,2025-07-25
1981-04-01,"GDPC1",-2.93151,2025-07-25,2025-07-25
1981-07-01,"GDPC1",4.87674,2025-07-25,2025-07-25
1981-10-01,"GDPC1",-4.28767,2025-07-25,2025-07-25
1982-01-01,"GDPC1",-6.07124,2025-07-25,2025-07-25
1982-04-01,"GDPC1",1.83723,2025-07-25,2025-07-25
1982-07-01,"GDPC1",-1.52032,2025-07-25,2025-07-25
1982-10-01,"GDPC1",0.16013,2025-07-25,2025-07-25
1983-01-01,"GDPC1",5.37627,2025-07-25,2025-07-25
1983-04-01,"GDPC1",9.4175,2025-07-25,2025-07-25
1983-07-01,"GDPC1",8.23878,2025-07-25,2025-07-25
1983-10-01,"GDPC1",8.60951,2025-07-25,2025-07-25
1984-01-01,"GDPC1",8.05144,2025-07-25,2025-07-25
1984-04-01,"GDPC1",7.09223,2025-07-25,2025-07-25
1984-07-01,"GDPC1",3.91216,2025-07-25,2025-07-25
1984-10-01,"GDPC1",3.32373,2025-07-25,2025-07-25
1985-01-01,"GDPC1",3.93262,2025-07-25,2025-07-25
1985-04-01,"GDPC1",3.56868,2025-07-25,2025-07-25
1985-07-01,"GDPC1",6.25047,2025-07-25,2025-07-25
1985-10-01,"GDPC1",3.00712,2025-07-25,2025-07-25
1986-01-01,"GDPC1",3.78763,2025-07-25,2025-07-25
1986-04-01,"GDPC1",1.81339,2025-07-25,2025-07-25
1986-07-01,"GDPC1",3.88194,2025-07-25,2025-07-25
1986-10-01,"GDPC1",2.1629,2025-07-25,2025-07-25
1987-01-01,"GDPC1",3.00056,2025-07-25,2025-07-25
1987-04-01,"GDPC1",4.38296,2025-07-25,2025-07-25
1987-07-01,"GDPC1",3.51409,2025-07-25,2025-07-25
1987-10-01,"GDPC1",7.04674,2025-07-25,2025-07-25
1988-01-01,"GDPC1",2.08362,2025-07-25,2025-07-25
1988-04-01,"GDPC1",5.36064,2025-07-25,2025-07-25
1988-07-01,"GDPC1",2.36456,2025-07-25,2025-07-25
1988-10-01,"GDPC1",5.4373,2025-07-25,2025-07-25
1989-01-01,"GDPC1",4.12798,2025-07-25,2025-07-25
1989-04-01,"GDPC1",3.08752,2025-07-25,2025-07-25
1989-07-01,"GDPC1",2.99603,2025-07-25,2025-07-25
1989-10-01,"GDPC1",0.79026,2025-07-25,2025-07-25
1990-01-01,"GDPC1",4.44372,2025-07-25,2025-07-25
1990-04-01,"GDPC1",1.4598,2025-07-25,2025-07-25
1990-07-01,"GDPC1",0.26659,2025-07-25,2025-07-25
1990-10-01,"GDPC1",-3.59219,2025-07-25,2025-07-25
1991-01-01,"GDPC1",-1.85867,2025-07-25,2025-07-25
1991-04-01,"GDPC1",3.15542,2025-07-25,2025-07-25
1991-07-01,"GDPC1",2.03681,2025-07-25,2025-07-25
1991-10-01,"GDPC1",1.40149,2025-07-25,2025-07-25
1992-01-01,"GDPC1",4.8757,2025-07-25,2025-07-25
1992-04-01,"GDPC1",4.40827,2025-07-25,2025-07-25
1992-07-01,"GDPC1",4.01141,2025-07-25,2025-07-25
1992-10-01,"GDPC1",4.23713,2025-07-25,2025-07-25
1993-01-01,"GDPC1",0.66945,2025-07-25,2025-07-25
1993-04-01,"GDPC1",2.3491,2025-07-25,2025-07-25
1993-07-01,"GDPC1",1.92232,2025-07-25,2025-07-25
1993-10-01,"GDPC1",5.55261,2025-07-25,2025-07-25
1994-01-01,"GDPC1",3.93831,2025-07-25,2025-07-25
1994-04-01,"GDPC1",5.53192,2025-07-25,2025-07-25
1994-07-01,"GDPC1",2.35892,2025-07-25,2025-07-25
1994-10-01,"GDPC1",4.66162,2025-07-25,2025-07-25
1995-01-01,"GDPC1",1.42669,2025-07-25,2025-07-25
1995-04-01,"GDPC1",1.19864,2025-07-25,2025-07-25
1995-07-01,"GDPC1",3.44657,2025-07-25,2025-07-25
1995-10-01,"GDPC1",2.74412,2025-07-25,2025-07-25
1996-01-01,"GDPC1",3.03003,2025-07-25,2025-07-25
1996-04-01,"GDPC1",6.84056,2025-07-25,2025-07-25
1996-07-01,"GDPC1",3.6367,2025-07-25,2025-07-25
1996-10-01,"GDPC1",4.21862,2025-07-25,2025-07-25
1997-01-01,"GDPC1",2.60688,2025-07-25,2025-07-25
1997-04-01,"GDPC1",6.8291,2025-07-25,2025-07-25
1997-07-01,"GDPC1",5.08859,2025-07-25,2025-07-25
1997-10-01,"GDPC1",3.45944,2025-07-25,2025-07-25
1998-01-01,"GDPC1",4.07587,2025-07-25,2025-07-25
1998-04-01,"GDPC1",3.75448,2025-07-25,2025-07-25
1998-07-01,"GDPC1",5.13166,2025-07-25,2025-07-25
1998-10-01,"GDPC1",6.59383,2025-07-25,2025-07-25
1999-01-01,"GDPC1",3.81102,2025-07-25,2025-07-25
1999-04-01,"GDPC1",3.38101,2025-07-25,2025-07-25
1999-07-01,"GDPC1",5.40995,2025-07-25,2025-07-25
1999-10-01,"GDPC1",6.72595,2025-07-25,2025-07-25
2000-01-01,"GDPC1",1.45909,2025-07-25,2025-07-25
2000-04-01,"GDPC1",7.4866,2025-07-25,2025-07-25
2000-07-01,"GDPC1",0.40835,2025-07-25,2025-07-25
2000-10-01,"GDPC1",2.40963,2025-07-25,2025-07-25
2001-01-01,"GDPC1",-1.30476,2025-07-25,2025-07-25
2001-04-01,"GDPC1",2.52151,2025-07-25,2025-07-25
2001-07-01,"GDPC1",-1.59295,2025-07-25,2025-07-25
2001-10-01,"GDPC1",1.10364,2025-07-25,2025-07-25
2002-01-01,"GDPC1",3.38764,2025-07-25,2025-07-25
2002-04-01,"GDPC1",2.47344,2025-07-25,2025-07-25
2002-07-01,"GDPC1",1.63599,2025-07-25,2025-07-25
2002-10-01,"GDPC1",0.49534,2025-07-25,2025-07-25
2003-01-01,"GDPC1",2.12327,2025-07-25,2025-07-25
2003-04-01,"GDPC1",3.58982,2025-07-25,2025-07-25
2003-07-01,"GDPC1",6.82062,2025-07-25,2025-07-25
2003-10-01,"GDPC1",4.72435,2025-07-25,2025-07-25
2004-01-01,"GDPC1",2.28594,2025-07-25,2025-07-25
2004-04-01,"GDPC1",3.13603,2025-07-25,2025-07-25
2004-07-01,"GDPC1",3.84871,2025-07-25,2025-07-25
2004-10-01,"GDPC1",4.14371,2025-07-25,2025-07-25
2005-01-01,"GDPC1",4.51184,2025-07-25,2025-07-25
2005-04-01,"GDPC1",1.98511,2025-07-25,2025-07-25
2005-07-01,"GDPC1",3.17231,2025-07-25,2025-07-25
2005-10-01,"GDPC1",2.24065,2025-07-25,2025-07-25
2006-01-01,"GDPC1",5.49112,2025-07-25,2025-07-25
2006-04-01,"GDPC1",1.03904,2025-07-25,2025-07-25
2006-07-01,"GDPC1",0.60117,2025-07-25,2025-07-25
2006-10-01,"GDPC1",3.48237,2025-07-25,2025-07-25
2007-01-01,"GDPC1",1.20878,2025-07-25,2025-07-25
2007-04-01,"GDPC1",2.46959,2025-07-25,2025-07-25
2007-07-01,"GDPC1",2.32409,2025-07-25,2025-07-25
2007-10-01,"GDPC1",2.53673,2025-07-25,2025-07-25
2008-01-01,"GDPC1",-1.69616,2025-07-25,2025-07-25
2008-04-01,"GDPC1",2.40307,2025-07-25,2025-07-25
2008-07-01,"GDPC1",-2.08454,2025-07-25,2025-07-25
2008-10-01,"GDPC1",-8.47277,2025-07-25,2025-07-25
2009-01-01,"GDPC1",-4.4628,2025-07-25,2025-07-25
2009-04-01,"GDPC1",-0.71269,2025-07-25,2025-07-25
2009-07-01,"GDPC1",1.41219,2025-07-25,2025-07-25
2009-10-01,"GDPC1",4.39426,2025-07-25,2025-07-25
2010-01-01,"GDPC1",1.95213,2025-07-25,2025-07-25
2010-04-01,"GDPC1",3.92688,2025-07-25,2025-07-25
2010-07-01,"GDPC1",3.1202,2025-07-25,2025-07-25
2010-10-01,"GDPC1",2.11704,2025-07-25,2025-07-25
2011-01-01,"GDPC1",-0.94545,2025-07-25,2025-07-25
2011-04-01,"GDPC1",2.73392,2025-07-25,2025-07-25
2011-07-01,"GDPC1",-0.08922,2025-07-25,2025-07-25
2011-10-01,"GDPC1",4.56844,2025-07-25,2025-07-25
2012-01-01,"GDPC1",3.39679,2025-07-25,2025-07-25
2012-04-01,"GDPC1",1.79733,2025-07-25,2025-07-25
2012-07-01,"GDPC1",0.57736,2025-07-25,2025-07-25
2012-10-01,"GDPC1",0.46337,2025-07-25,2025-07-25
2013-01-01,"GDPC1",4.00503,2025-07-25,2025-07-25
2013-04-01,"GDPC1",1.07485,2025-07-25,2025-07-25
2013-07-01,"GDPC1",3.44931,2025-07-25,2025-07-25
2013-10-01,"GDPC1",3.53283,2025-07-25,2025-07-25
2014-01-01,"GDPC1",-1.37325,2025-07-25,2025-07-25
2014-04-01,"GDPC1",5.26837,2025-07-25,2025-07-25
2014-07-01,"GDPC1",4.95092,2025-07-25,2025-07-25
2014-10-01,"GDPC1",2.03833,2025-07-25,2025-07-25
2015-01-01,"GDPC1",3.65089,2025-07-25,2025-07-25
2015-04-01,"GDPC1",2.50074,2025-07-25,2025-07-25
2015-07-01,"GDPC1",1.61062,2025-07-25,2025-07-25
2015-10-01,"GDPC1",0.73996,2025-07-25,2025-07-25
2016-01-01,"GDPC1",2.33831,2025-07-25,2025-07-25
2016-04-01,"GDPC1",1.2907,2025-07-25,2025-07-25
2016-07-01,"GDPC1",2.8679,2025-07-25,2025-07-25
2016-10-01,"GDPC1",2.2357,2025-07-25,2025-07-25
2017-01-01,"GDPC1",1.96183,2025-07-25,2025-07-25
2017-04-01,"GDPC1",2.25837,2025-07-25,2025-07-25
2017-07-01,"GDPC1",3.1916,2025-07-25,2025-07-25
2017-10-01,"GDPC1",4.58497,2025-07-25,2025-07-25
2018-01-01,"GDPC1",3.29355,2025-07-25,2025-07-25
2018-04-01,"GDPC1",2.14027,2025-07-25,2025-07-25
2018-07-01,"GDPC1",2.51823,2025-07-25,2025-07-25
2018-10-01,"GDPC1",0.56778,2025-07-25,2025-07-25
2019-01-01,"GDPC1",2.52076,2025-07-25,2025-07-25
2019-04-01,"GDPC1",3.38266,2025-07-25,2025-07-25
2019-07-01,"GDPC1",4.76278,2025-07-25,2025-07-25
2019-10-01,"GDPC1",2.75554,2025-07-25,2025-07-25
2020-01-01,"GDPC1",-5.45451,2025-07-25,2025-07-25
2020-04-01,"GDPC1",-28.07673,2025-07-25,2025-07-25
2020-07-01,"GDPC1",35.19544,2025-07-25,2025-07-25
2020-10-01,"GDPC1",4.41001,2025-07-25,2025-07-25
2021-01-01,"GDPC1",5.63609,2025-07-25,2025-07-25
2021-04-01,"GDPC1",6.42964,2025-07-25,2025-07-25
2021-07-01,"GDPC1",3.45529,2025-07-25,2025-07-25
2021-10-01,"GDPC1",7.41007,2025-07-25,2025-07-25
2022-01-01,"GDPC1",-1.02585,2025-07-25,2025-07-25
2022-04-01,"GDPC1",0.28101,2025-07-25,2025-07-25
2022-07-01,"GDPC1",2.72015,2025-07-25,2025-07-25
2022-10-01,"GDPC1",3.35266,2025-07-25,2025-07-25
2023-01-01,"GDPC1",2.79704,2025-07-25,2025-07-25
2023-04-01,"GDPC1",2.45009,2025-07-25,2025-07-25
2023-07-01,"GDPC1",4.35547,2025-07-25,2025-07-25
2023-10-01,"GDPC1",3.19221,2025-07-25,2025-07-25
2024-01-01,"GDPC1",1.62907,2025-07-25,2025-07-25
2024-04-01,"GDPC1",2.98885,2025-07-25,2025-07-25
2024-07-01,"GDPC1",3.07283,2025-07-25,2025-07-25
2024-10-01,"GDPC1",2.45046,2025-07-25,2025-07-25
2025-01-01,"GDPC1",-0.50252,2025-07-25,2025-07-25
